,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,広島県,188,12.76 ,12.76 ,2,18,25,39,30,31,19,24,0,153,34,1,2,31,154,6,148,59,5,38,46,1,115,15,7,18,4,29,0,107,5,11,27,6,32,0,9,9,13,9,17,25,13,18,19,7,8,6,35,27,26,23,32,33,25,18,4,32,137,14,8,7,1,7,32,49,102,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,山口県,109,14.13 ,14.13 ,2,11,16,12,22,23,15,8,0,82,27,0,1,26,82,2,80,35,1,19,25,0,67,2,12,12,4,12,0,64,3,11,5,1,25,0,8,8,10,7,3,12,8,10,11,4,5,3,20,22,11,19,18,15,8,15,1,24,95,10,3,4,1,7,7,38,48,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,徳島県,57,13.65 ,13.65 ,0,7,4,9,9,9,12,7,0,44,13,0,1,6,50,1,49,15,1,17,16,0,30,2,3,9,1,12,0,29,0,3,8,4,13,0,1,6,4,4,1,4,3,12,4,2,5,3,8,9,13,5,11,7,3,8,1,6,44,3,3,2,0,2,10,12,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,香川県,72,13.71 ,13.71 ,2,4,9,6,16,15,11,9,0,56,16,0,3,16,53,1,52,16,3,21,12,0,37,1,4,12,0,18,0,32,1,6,6,2,25,0,5,7,8,4,6,9,6,5,5,3,2,5,7,6,8,11,11,7,19,10,0,16,40,6,1,1,2,2,23,15,48,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,愛媛県,97,12.63 ,12.63 ,0,8,12,15,17,21,13,11,0,76,21,0,2,14,81,1,80,30,1,23,26,0,69,2,4,9,1,12,0,59,3,5,9,4,17,0,11,8,7,7,5,15,6,10,8,7,2,7,4,17,13,17,13,15,9,12,1,14,50,6,2,2,0,6,33,40,41,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,高知県,62,15.15 ,15.15 ,1,3,7,3,12,15,13,8,0,40,21,1,5,9,48,1,47,8,2,19,18,0,38,2,5,7,0,10,0,31,7,5,7,0,12,0,5,3,5,9,1,5,6,5,5,1,4,4,9,9,4,7,14,8,14,6,0,13,48,3,2,2,0,4,10,21,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,福岡県,356,13.45 ,13.45 ,10,29,55,48,59,66,58,31,0,275,78,3,10,54,288,11,277,90,11,86,90,4,230,28,22,30,3,43,0,206,10,27,46,5,61,1,27,16,27,29,21,32,24,37,27,34,18,29,35,47,50,63,43,57,50,42,4,75,225,38,6,20,6,13,99,120,139,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,佐賀県,63,13.93 ,13.93 ,2,7,5,7,8,7,16,11,0,54,9,0,2,10,51,1,50,13,1,21,15,0,37,2,4,11,0,9,0,30,7,4,6,1,15,0,2,4,5,5,5,2,9,9,6,2,8,1,5,11,6,8,7,14,11,6,0,13,65,7,3,3,1,3,0,19,33,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,長崎県,111,14.42 ,14.42 ,2,11,15,10,18,23,15,17,0,91,20,0,3,16,92,1,91,33,3,24,31,0,74,3,0,9,0,25,0,73,2,1,16,0,19,0,10,10,3,9,10,18,16,9,8,8,4,1,5,16,17,11,13,17,22,15,0,14,76,9,0,4,0,16,30,40,64,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,熊本県,135,13.95 ,13.95 ,5,13,18,18,17,22,17,25,0,107,28,0,0,19,116,5,111,18,3,58,32,0,98,5,2,10,0,20,0,85,13,5,12,3,17,0,11,6,10,4,6,13,6,21,18,7,15,4,14,20,26,15,22,12,26,14,0,20,96,7,8,4,2,3,30,44,70,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,大分県,83,13.07 ,13.07 ,0,6,12,9,18,12,18,8,0,63,20,0,4,14,65,1,64,24,1,19,20,0,47,9,6,9,2,10,0,44,5,6,11,3,14,0,6,1,8,6,7,5,13,8,7,3,3,7,9,12,7,10,15,16,8,14,1,21,59,10,1,2,0,2,13,26,48,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,宮崎県,88,14.47 ,14.47 ,3,5,9,6,8,18,22,17,0,71,17,0,6,7,75,3,72,25,2,31,14,0,64,1,7,5,1,10,0,58,10,7,4,1,8,0,7,1,4,10,7,10,8,8,10,7,4,6,6,7,13,14,13,11,16,14,0,18,73,10,1,4,0,1,11,26,50,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,鹿児島県,125,13.68 ,13.68 ,1,10,15,13,13,26,22,25,0,89,36,0,7,14,104,2,102,25,2,38,37,0,82,2,1,17,3,20,0,71,10,4,11,2,27,0,5,2,7,11,12,12,21,11,12,3,8,8,13,16,16,21,25,17,16,11,3,22,86,6,2,4,1,4,38,30,77,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,沖縄県,91,12.75 ,12.75 ,4,11,16,16,25,6,3,10,0,77,14,0,0,19,71,2,69,16,2,8,43,1,49,21,5,4,0,12,0,46,7,4,24,0,10,0,9,3,5,5,8,11,5,6,7,5,2,3,22,11,15,10,13,14,14,14,0,12,68,6,1,5,0,4,12,30,53,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,不明,32,0.00 ,0.00 ,0,1,1,3,4,3,2,0,18,0,5,27,0,0,6,0,6,0,0,0,6,26,0,6,3,5,3,15,0,12,0,4,8,3,4,1,6,1,2,0,1,1,1,1,2,2,0,1,14,2,6,2,4,6,4,3,5,3,2,2,0,2,0,2,24,1,3,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
