,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,兵庫県,808,30.16 ,30.08 ,26,98,98,147,134,155,90,60,0,510,288,10,96,243,464,39,425,0,44,174,207,5,411,64,58,44,35,196,0,530,10,59,94,25,90,0,116,54,60,84,43,55,91,78,67,58,66,26,10,118,130,125,111,123,93,108,0,99,309,138,131,24,15,64,196,113,573,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,奈良県,173,25.87 ,25.80 ,3,19,22,27,28,35,29,10,0,132,40,1,24,43,105,11,94,0,14,21,59,1,99,7,17,4,7,39,0,119,2,14,13,10,15,0,15,12,20,13,4,14,15,6,14,10,16,9,25,28,27,22,20,26,22,25,3,11,61,31,13,5,4,8,70,23,116,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,和歌山県,138,28.59 ,28.51 ,0,10,8,20,24,29,31,16,0,102,35,1,21,32,83,1,82,0,7,28,47,2,85,2,11,3,7,30,0,108,5,10,6,0,9,0,15,8,9,12,14,7,14,10,16,8,9,7,9,15,19,9,27,23,23,21,1,12,59,28,21,2,0,8,38,19,93,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,鳥取県,91,32.32 ,32.23 ,2,13,16,12,25,12,7,4,0,67,23,1,11,30,49,5,44,0,6,8,30,1,51,0,14,2,6,18,0,64,0,13,3,1,10,0,12,5,9,8,4,7,6,6,6,14,5,0,9,8,17,10,14,16,15,11,0,11,18,22,7,4,1,7,48,11,56,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,島根県,135,39.66 ,39.55 ,2,10,16,21,27,24,17,18,0,104,31,0,11,45,78,4,74,0,12,36,26,1,77,0,15,6,10,27,0,106,2,15,4,1,6,1,13,3,12,17,7,10,11,12,8,5,5,2,30,16,26,21,15,19,19,12,7,16,53,28,14,8,1,8,46,21,73,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,岡山県,263,28.23 ,28.15 ,6,36,27,56,47,43,21,27,0,188,74,1,26,95,140,9,131,0,30,54,47,2,139,6,26,10,11,71,0,167,3,40,13,4,36,0,20,10,27,26,17,13,19,19,19,15,11,19,48,35,35,42,37,34,38,33,9,41,105,64,36,12,2,14,79,50,162,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,広島県,437,31.72 ,31.64 ,13,51,73,80,66,69,46,39,0,295,139,3,36,160,233,15,218,0,30,133,55,8,232,18,46,22,27,92,0,289,9,53,40,6,40,0,21,18,22,36,17,40,39,26,34,26,23,21,114,53,71,59,64,55,46,71,18,37,220,84,41,19,3,19,123,64,258,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,山口県,244,35.67 ,35.57 ,3,22,31,32,35,62,37,22,0,166,78,0,21,73,150,4,146,0,14,58,74,0,137,4,23,12,15,53,0,176,2,22,8,2,34,0,17,10,17,20,21,15,24,19,21,11,10,10,49,28,37,35,36,32,38,32,6,33,165,82,20,2,4,8,16,31,140,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,徳島県,114,30.34 ,30.26 ,1,19,17,15,12,26,13,11,0,88,26,0,12,30,70,4,66,0,11,25,30,2,61,0,7,8,7,31,0,85,1,6,3,2,17,0,8,3,11,6,9,6,7,6,10,13,4,3,28,12,25,10,14,12,17,20,4,14,30,21,8,2,4,6,53,14,82,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,香川県,120,24.76 ,24.69 ,3,12,21,13,28,22,12,9,0,85,34,1,13,39,65,4,61,0,11,18,32,3,70,2,10,8,2,28,0,90,1,9,7,0,13,0,12,13,11,7,10,10,6,12,8,4,10,6,11,13,22,25,17,13,16,13,1,21,40,36,13,7,1,4,32,13,74,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,愛媛県,234,34.32 ,34.22 ,2,19,30,34,45,60,27,17,0,168,65,1,36,71,126,4,122,0,14,51,57,1,131,1,19,13,14,56,0,164,3,25,17,0,25,0,17,15,20,27,15,16,22,19,22,8,10,10,33,31,37,31,27,32,37,30,9,28,70,64,16,8,2,7,91,30,141,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,高知県,154,43.11 ,42.99 ,1,18,16,10,37,38,18,16,0,106,47,1,32,38,84,1,83,0,12,38,33,0,87,2,10,6,8,41,0,116,2,11,10,0,15,0,9,11,17,15,9,14,15,18,15,5,6,12,8,20,26,29,19,21,21,18,0,21,69,41,15,3,1,6,41,16,122,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,福岡県,815,34.01 ,33.92 ,19,95,115,126,146,156,94,63,1,545,260,10,100,234,473,37,436,0,47,138,251,8,439,50,78,31,40,177,0,542,12,98,76,9,78,0,56,50,41,73,43,71,52,63,59,45,34,53,175,90,136,123,119,116,100,96,35,114,305,234,66,34,18,37,274,123,468,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,佐賀県,145,35.87 ,35.77 ,1,19,24,24,24,24,19,10,0,113,32,0,25,47,71,3,68,0,7,22,39,2,74,5,26,6,8,26,0,89,5,24,11,3,13,0,4,9,5,16,5,11,13,11,11,14,5,8,33,19,26,20,18,15,27,15,5,22,73,44,34,7,0,53,4,17,77,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,長崎県,202,30.07 ,29.99 ,6,22,23,30,41,36,23,21,0,146,55,1,29,71,101,4,97,0,11,41,45,1,107,3,21,7,14,50,0,151,6,19,13,0,12,1,18,7,19,15,14,19,13,18,14,20,9,12,24,32,38,33,31,18,27,20,3,27,76,46,36,12,3,26,46,38,131,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,熊本県,301,34.96 ,34.87 ,7,24,34,43,63,57,43,30,0,244,57,0,39,97,165,9,156,0,15,101,40,0,186,3,33,10,12,57,0,224,14,29,16,1,17,0,17,15,26,30,22,29,19,30,30,14,13,11,45,27,46,49,46,46,38,46,3,42,161,51,26,12,0,13,84,56,210,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,大分県,181,31.92 ,31.83 ,5,19,27,28,34,33,24,11,0,132,48,1,18,60,102,6,96,0,11,30,55,1,98,6,21,9,13,34,0,119,4,20,10,1,27,0,13,11,16,14,12,13,13,15,13,12,11,4,34,24,29,28,25,25,23,24,3,30,71,55,30,9,4,11,39,29,112,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,宮崎県,204,37.77 ,37.66 ,2,12,24,30,43,39,28,26,0,145,59,0,34,66,103,5,98,0,4,44,50,1,117,0,24,7,12,44,0,154,7,23,2,0,18,0,13,11,17,20,10,20,14,19,12,8,12,12,36,16,36,30,30,30,35,22,5,40,129,59,22,6,0,11,26,27,147,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,鹿児島県,274,34.17 ,34.07 ,6,17,34,42,57,52,40,26,0,194,79,1,31,90,152,3,149,0,13,76,60,1,162,4,31,6,22,49,0,199,9,30,11,0,25,0,7,11,21,26,33,18,21,16,20,16,9,17,59,30,36,35,47,39,49,31,7,31,101,49,23,9,1,12,102,49,183,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,沖縄県,201,28.69 ,28.61 ,4,15,29,32,51,35,22,13,0,139,61,1,19,59,122,5,117,0,19,40,58,1,128,10,9,8,9,37,0,160,3,10,14,0,14,0,11,8,15,8,10,10,22,13,12,12,4,4,72,23,28,26,37,19,36,23,9,36,89,33,14,2,3,13,47,31,143,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,不明,260,0.00 ,0.00 ,0,7,34,31,38,30,7,2,111,0,83,177,1,13,70,0,70,0,18,3,49,176,2,20,19,30,46,143,0,168,2,10,30,22,26,2,31,14,30,20,7,9,5,4,7,10,12,14,97,26,35,34,27,31,37,31,39,8,13,36,4,9,0,11,203,7,40,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
