,,,,,,,,,,,,,,,,,,,,,,主婦,失業者,年金・雇用保険等生活者,その他の無職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,高知県,147,40.47 ,40.47 ,4,9,15,17,46,26,17,13,0,99,48,0,27,37,81,3,78,0,14,25,39,2,70,1,16,8,18,34,0,102,4,15,3,1,22,0,10,8,13,19,9,11,11,10,9,13,8,6,20,15,39,15,24,19,19,14,2,24,70,57,10,7,1,10,26,22,100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,福岡県,896,37.47 ,37.47 ,11,103,127,138,180,185,103,49,0,607,273,16,85,274,524,21,503,0,83,177,243,13,488,40,102,35,44,187,0,580,25,107,75,14,95,0,86,49,83,75,53,68,70,68,65,53,53,44,129,121,133,128,130,123,128,104,29,120,318,260,97,28,11,33,300,107,484,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,佐賀県,168,41.26 ,41.26 ,0,14,17,34,44,26,17,16,0,129,39,0,30,53,85,2,83,0,10,33,40,0,101,1,21,7,9,29,0,113,8,21,6,0,20,0,4,6,13,24,6,12,11,20,10,9,11,7,35,22,24,29,26,20,23,17,7,34,98,83,29,6,1,26,2,33,101,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,長崎県,276,40.57 ,40.57 ,3,25,27,42,75,54,24,26,0,217,59,0,41,88,147,3,144,0,30,50,64,0,138,7,33,12,29,57,0,192,7,27,21,1,28,0,21,16,16,32,20,20,22,17,24,26,12,16,34,33,43,48,36,39,29,41,7,28,109,78,26,10,0,35,92,32,201,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,熊本県,321,37.07 ,37.07 ,4,18,27,60,83,68,37,24,0,249,72,0,54,105,158,8,150,0,12,76,62,4,166,6,37,9,25,78,0,231,13,35,18,7,17,0,22,20,22,30,25,24,28,19,32,23,16,11,49,48,57,46,36,39,41,43,11,34,119,103,25,3,4,13,108,58,213,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,大分県,199,34.80 ,34.80 ,4,25,23,24,47,40,23,13,0,138,59,2,21,73,102,5,97,0,10,42,45,3,102,8,25,16,9,39,0,124,6,23,16,7,23,0,19,13,13,17,10,12,18,15,19,13,9,9,32,28,30,33,29,26,25,24,4,31,96,54,25,10,0,13,43,22,140,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,宮崎県,224,41.15 ,41.15 ,1,17,17,42,49,42,39,17,0,168,56,0,35,66,123,3,120,0,17,59,44,0,109,2,38,16,18,41,0,161,10,34,8,2,9,0,14,14,15,23,13,10,15,27,19,18,12,15,29,23,39,36,36,29,33,23,5,46,119,68,19,10,0,11,40,38,152,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,鹿児島県,337,41.66 ,41.66 ,5,20,34,48,95,62,38,35,0,236,101,0,43,101,191,10,181,0,24,64,93,2,176,5,26,14,41,75,0,251,7,34,16,1,28,0,13,12,16,36,23,35,24,23,39,19,17,29,51,49,44,67,48,54,38,34,3,37,127,76,24,6,8,20,126,47,226,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,沖縄県,261,37.70 ,37.70 ,5,27,51,42,71,34,22,9,0,192,69,0,28,73,159,5,154,0,22,19,113,1,138,11,14,16,9,73,0,181,12,11,29,0,28,0,13,9,18,21,11,13,16,24,4,14,9,10,99,39,40,38,38,31,27,29,19,26,127,56,19,7,3,15,66,49,191,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,不明,363,0.00 ,0.00 ,0,19,27,49,74,54,9,1,130,0,91,272,3,10,97,0,97,0,12,1,84,253,0,18,30,50,69,196,0,227,0,31,32,32,37,4,38,23,46,21,12,10,10,9,14,11,16,18,135,34,47,48,46,37,45,44,62,11,21,58,7,5,0,19,276,11,50,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
